patch_id,FIA_Forest_Type,patch_acres,acres,num_patches
12979,Mixed Upland Hardwoods,15,949111,3291
12981,Mixed Upland Hardwoods,16,949111,3291
12982,Yellow-poplar,16,30149,211
12986,Mixed Upland Hardwoods,109,949111,3291
12989,Mixed Upland Hardwoods,15,949111,3291
12991,Post Oak / Blackjack Oak,46,8206,99
12991,Mixed Upland Hardwoods,387,949111,3291
12992,Virginia Pine,47,18108,91
12992,Yellow-poplar,16,30149,211
12992,Mixed Upland Hardwoods,185,949111,3291
12993,Mixed Upland Hardwoods,31,949111,3291
12994,Chestnut Oak,16,32022,87
12994,Mixed Upland Hardwoods,62,949111,3291
12994,Red Maple / Upland,15,584,18
12995,Virginia Pine,15,18108,91
12995,Post Oak / Blackjack Oak,30,8206,99
12995,Yellow-poplar,15,30149,211
12995,Mixed Upland Hardwoods,340,949111,3291
12996,Mixed Upland Hardwoods,15,949111,3291
12997,Mixed Upland Hardwoods,15,949111,3291
12998,Mixed Upland Hardwoods,77,949111,3291
12999,Mixed Upland Hardwoods,30,949111,3291
13000,Yellow-poplar,16,30149,211
13001,Mixed Upland Hardwoods,16,949111,3291
13002,River Birch / Sycamore,31,1228,16
13004,Yellow-poplar,15,30149,211
13005,Sweetgum / Yellow-poplar,30,512092,300
13005,Mixed Upland Hardwoods,634,949111,3291
13007,Virginia Pine,16,18108,91
13007,Chestnut Oak,31,32022,87
13007,Yellow-poplar,78,30149,211
13007,Mixed Upland Hardwoods,233,949111,3291
13008,Mixed Upland Hardwoods,15,949111,3291
13010,Mixed Upland Hardwoods,46,949111,3291
13011,Mixed Upland Hardwoods,63,949111,3291
13012,Chestnut Oak,47,32022,87
13014,Yellow-poplar,15,30149,211
13015,Sweetgum / Yellow-poplar,32,512092,300
13018,Mixed Upland Hardwoods,15,949111,3291
13019,Black Locust,16,840,24
